Group Name,Aviary Name,Cage,Species Name,Male Parent Ring no,Female Parent Ring no,Egg no,Date of incubation,Egg type,Date of fertile,Remark,Pip Weight,Pip Date,Hatch Weight,Hatch Date,Shell weight,Hatch Type,Shell Thick,Dis type,Dis Date,Egg weight
Lorikeet,Lory,F30,Swainson Lorikeet,CKRC248,ACEIND148,6638,21-04-2022,Fertile,,,,,,,,,,,,8.8
Lorikeet,Lory,F45,Olive Swainson Lorikeet,7L6678,T0660192,6639,21-04-2022,Infertile,,,,,,,,,,,,6.83
Cockatoo,Vasantham,V19,Mollucan Cockatoo,PABW072,PABW038,2595,22-04-2022,DIS,04-04-2022,,,,,,,,,Late,22-04-2022,23.4
Parrot,Sun Conure,B05,Red Belly,CKRB211,266,6640,25-04-2022,Infertile,,,,,,,,,,,,9.11
Conure,Sun Conure,B06,Sun Conure,GB3059,CPC143,6641,25-04-2022,Fertile,,,,,,,,,,,,6.23
Conure,Sun Conure,B06,Sun Conure,GB3059,CPC143,6642,25-04-2022,DIS,,,,,,,,,,Early,02-05-2022,6.23
Conure,Sun Conure,B41,Sun Conure,GB2914,GB3068,6643,25-04-2022,Fertile,,,,,,,,,,,,8.4
Conure,Sun Conure,B41,Sun Conure,GB2914,GB3068,6644,25-04-2022,Fertile,,,7.56,08-05-2022,,,,,,,,8.2
Lory,Lory,D07,Black Capped Lory,MAR092,MAR050,6645,25-04-2022,Fertile,,,,,,,,,,,,8.77
Lory,Lory,D07,Black Capped Lory,MAR092,MAR050,6646,25-04-2022,Fertile,,,,,,,,,,,,9.11
Lory,Lory,E13,redlory ,TER22824,,6647,25-04-2022,Fertile,,,,,,,,,,,,8.83
Lory,Lory,E13,redlory ,TER22824,,6648,25-04-2022,Fertile,,,,,,,,,,,,8.62
Lory,Lory,E19,Black Capped & chattering Lory,SUNIL692,JP514,6649,25-04-2022,Fertile,,,,,,,,,,,,10.96
Lory,Lory,D17,Violet necked Lory,CHIRP027,JP371,6650,25-04-2022,Fertile,,,,,,,,,,,,6.77
Lorikeet,Lory,D36,Green Napped Lorikeet,7NG2122,BH7318,6651,25-04-2022,Fertile,,,,,,,,,,,,6.18
Lory,Lory,E39,redlory ,YUV40,PABW324,6652,25-04-2022,Infertile,,,,,,,,,,,,8.27
Lory,Lory,E39,redlory ,YUV40,PABW324,6653,25-04-2022,Infertile,,,,,,,,,,,,8.24
