Group Name,Aviary Name,Cage,Species Name,Ring no,Gender,Proven,Weight
Conure,Cockatoo Aviary,C06,Sun Conure,CKRF 988,Female,Semi Adult,
Conure,Cockatoo Aviary,C06,Sun Conure,CKRF 904,Male,Semi Adult,
Conure,Cockatoo Aviary,C06,Sun Conure,CKRF 846,Female,Semi Adult,
Conure,Cockatoo Aviary,C06,Sun Conure,CKRF 835,Female,Semi Adult,
Conure,Cockatoo Aviary,C06,Sun Conure,CKRF 845,Male,Semi Adult,
Conure,Cockatoo Aviary,C06,Sun Conure,CKRF 814,Male,Semi Adult,
Conure,Cockatoo Aviary,C06,Sun Conure,CKRF 190,Female,Semi Adult,
Conure,Cockatoo Aviary,C06,Sun Conure,CKRF 874,Female,Semi Adult,
Conure,Cockatoo Aviary,C08,Sun Conure,CKRE 1599,Male,Semi Adult,
Conure,Cockatoo Aviary,C08,Sun Conure,CKRF 720,Female,Semi Adult,
Conure,Cockatoo Aviary,C08,Sun Conure,CKRF 913,Male,Semi Adult,
Conure,Cockatoo Aviary,C08,Sun Conure,CKRE 1281,Male,Semi Adult,
Conure,Cockatoo Aviary,C08,Sun Conure,CKRE 1643,Female,Semi Adult,
Conure,Cockatoo Aviary,C08,Sun Conure,CKRE 1302,Male,Semi Adult,
Conure,Cockatoo Aviary,C08,Sun Conure,CKRE 1988,Female,Semi Adult,
Conure,Cockatoo Aviary,C08,Sun Conure,CKRE 1068,,Semi Adult,
Conure,Cockatoo Aviary,C08,Sun Conure,CKRE 1482,,Semi Adult,
Conure,Macaw Aviary,C09,Sun Conure,CKR E 2058,,Semi Adult,
Conure,Macaw Aviary,C09,Sun Conure,CKR F 686,,Semi Adult,
Conure,Macaw Aviary,C09,Sun Conure,CKR E 2140,,Semi Adult,
Conure,Macaw Aviary,C09,Sun Conure,CKR E 2130,,Semi Adult,
Conure,Macaw Aviary,C10,Sun conure,CKRE2147,nA,Semi Adult,
Conure,Macaw Aviary,C10,Sun conure,CKRE2143,nA,Semi Adult,
Conure,Macaw Aviary,C10,Sun & Jandaya,CKRE2071,nA,Semi Adult,
Conure,Macaw Aviary,C10,Sun conure,CKRE2126,nA,Semi Adult,
Conure,Macaw Aviary,C10,Sun conure,CKRE2149,nA,Semi Adult,
Conure,Macaw Aviary,C10,Sun conure,CKRE2076,nA,Semi Adult,
Conure,Macaw Aviary,C10,Sun conure,CKRE2144,nA,Semi Adult,
Conure,Macaw Aviary,C10,Sun conure,CKRE2079,nA,Semi Adult,
Conure,Macaw Aviary,C10,Sun conure,CKRE2073,nA,Semi Adult,
Conure,Macaw Aviary,C10,Sun conure,CKRE2065,nA,Semi Adult,
Conure,Macaw Aviary,C11,Sun conure,CKRE2106,nA,Semi Adult,
Conure,Macaw Aviary,C11,Sun conure,CKRE2074,nA,Semi Adult,
Conure,Macaw Aviary,C11,Sun conure,CKRE2082,nA,Semi Adult,
Conure,Macaw Aviary,C11,Sun conure,CKRE2084,nA,Semi Adult,
